Jaar,LEEFTIJD,GESLACHT,vervoerwijze,vervoerwijzefilter,wegvak/kruispunt,wegbeheerder,wegnummer,HECTOMETER,STRAAT1,STRAAT2,STRAAT3,GEMEENTE,PROVINCIE,type locatie,X_COORD,Y_COORD,Lat,Lon
2007,39,V,Personenauto,1,249435002,,,,Braken,Spierdijkerweg,De Burg,Koggenland,Noord-Holland,W,125412,517325,52.6426159,4.950062552
2007,64,V,Bromfiets,5,250377043,,,,Zuiderzeeweg,Schellingwouderdijk,Zuiderzeepark,Amsterdam,Noord-Holland,W,125480,488842,52.38664067,4.953587759
2007,52,M,Personenauto,1,250391005,,,,Jaagweg,Kanaaldijk,Dorpsstraat,Waterland,Noord-Holland,W,125220,496299,52.45364464,4.949106305
2007,22,M,Personenauto,1,250411001,,,"20,3",Rijksweg A7,PURMEREND-NOORD 6,KRUISOORD,Beemster,Noord-Holland,W,126333,508089,52.55966202,4.964466627
2007,75,M,Personenauto,1,251360037,,,,Karspeldreef,Flierbosdreef,Gooiseweg,Amsterdam,Noord-Holland,W,126111,480400,52.31080256,4.963581023
2007,25,M,Personenauto,1,251448009,,,,A C de Graafweg,A C de Graafweg,De Veken,Opmeer,Noord-Holland,K,125671,524350,52.70576177,4.953266189
2007,54,V,Personenauto,1,252370010,,,"10,5",Ringweg-Oost,KP WATERGRAAFSMEER,ZEEBURG S114,Amsterdam,Noord-Holland,W,126428,485842,52.35972874,4.967767548
2007,46,M,Voetganger,3,254341033,,,"46,6",Rijksweg A2,RYKSWG,RUWIEL,Breukelen,Utrecht,W,127647,467961,52.19908446,4.987110385
2007,58,M,Bromfiets,5,254380002,,,,Nieuwe Gouw,Poppendammergouw,Molenslootpad,Amsterdam,Noord-Holland,W,127435,490003,52.39717665,4.982208536
2007,19,M,Personenauto,1,256397002,,,,Oosterweg M,GROENEWEG,Purmerenderweg M,Waterland,Noord-Holland,W,128778,499468,52.48230701,5.001198889
2007,27,V,Personenauto,1,256424008,,,"25,8",RYKSWG,RYKSWG,AVENHORN 7,Koggenland,Noord-Holland,W,128516,513136,52.60512955,4.996255416
2007,29,M,Personenauto,1,257470052,,,"73,4",Alkmaarseweg,Kanaalweg,Professor Ter Veenweg,Wieringermeer,Noord-Holland,W,128907,535134,52.80283821,5.000289409
2007,55,V,Personenauto,1,257470052,,,"73,4",Alkmaarseweg,Kanaalweg,Professor Ter Veenweg,Wieringermeer,Noord-Holland,W,128907,535134,52.80283821,5.000289409
2007,53,V,Motor,4,257495001,,,"18,4",RYKSWG,Kleitelweg,WEG PAR AAN RYKSWG,Wieringen,Noord-Holland,W,129066,547951,52.91802386,5.001632484
2007,56,M,Motor,4,257495001,,,"18,4",RYKSWG,Kleitelweg,WEG PAR AAN RYKSWG,Wieringen,Noord-Holland,W,129066,547951,52.91802386,5.001632484
