"ORIG_ID,N,10,0","ONG,N,10,0","UMS,N,10,0","ONGSLA,N,10,0","ONGDOD,N,10,0","ONGZKHGEW,N,10,0","ONGOVGGEW,N,10,0","ONGERNST,N,10,0","BST,N,10,0","VWD,N,10,0","BSTSLA,N,10,0","BSTDODSLA,N,10,0","BSTZKHGEW,N,10,0","BSTOVGGEW,N,10,0","BSTERNST,N,10,0","PASSLA,N,10,0","PASDODSLA,N,10,0","PASZKHGEW,N,10,0","PASOVGGEW,N,10,0","PASERNST,N,10,0","SLA,N,10,0","DODSLA,N,10,0","ZKHGEW,N,10,0","OVGGEW,N,10,0","ERNST,N,10,0","WEGING,N,10,0","XCOR,N,20,5","YCOR,N,20,5","KRAA_,C,1"
24541,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127091,484790,"J"
24542,1,0,1,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,127158,484867,"J"
24543,1,0,1,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,127154,484715,"J"
24544,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127024,493018,"J"
24545,2,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"127245,162","501984,92","J"
24546,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127279,502042,"J"
24547,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127005,502449,"J"
24548,1,0,1,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,"127369,813","502530,663","J"
24549,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,127295,535533,"J"
24550,1,0,1,0,1,0,1,2,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,126946,547086,"J"
24551,1,0,1,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,"127546,053","478740,638","J"
24552,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127851,478729,"J"
24553,2,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127716,478917,"J"
24554,4,3,1,0,0,1,0,8,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,127611,479357,"J"
24555,5,3,2,0,0,2,0,9,2,2,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,"127852,803","479347,136","J"
24556,3,2,1,0,0,1,0,6,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,"127526,856","481284,8","J"
24557,1,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,127624,482854,"J"
24558,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127763,483560,"J"
24559,2,0,2,0,0,2,0,4,1,2,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,"127851,334","485734,276","J"
24560,1,0,1,0,1,0,1,2,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,127685,501365,"J"
24561,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,127637,502361,"J"
24562,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127610,502176,"J"
24563,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127787,502606,"J"
24564,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127661,516898,"J"
24565,2,1,1,0,1,0,1,4,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,127614,527431,"J"
24566,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,125997,502049,"J"
24567,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125708,510337,"J"
24568,7,5,2,0,2,0,2,13,4,3,0,2,1,2,0,0,0,0,0,3,0,2,1,2,0,"125523,713","514338,028","J"
24569,3,3,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125749,515424,"J"
24570,1,0,1,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,125852,529002,"J"
24572,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126141,477371,"J"
24573,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"126023,976","478773,32","J"
24574,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126416,479042,"J"
24575,4,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126315,479245,"J"
24576,4,3,1,0,0,1,0,8,1,2,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,126235,481377,"J"
24577,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126385,481461,"J"
24578,1,0,1,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,126396,481317,"J"
24579,7,4,3,0,0,3,0,13,2,2,0,0,2,0,1,0,0,1,0,3,0,0,3,0,0,126451,481508,"J"
24580,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"126130,691","481963,663","J"
24581,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126494,482170,"J"
24582,6,5,1,0,0,1,0,9,3,1,0,0,1,0,1,0,0,1,0,2,0,0,2,0,0,"126407,022","483311,418","J"
24583,3,2,1,0,0,1,0,6,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,126201,483908,"J"
24584,3,1,2,0,0,2,0,6,0,1,0,0,1,0,1,0,0,1,0,2,0,0,2,0,0,126114,483759,"J"
24585,1,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,126181,484157,"J"
24586,1,0,1,0,1,0,1,2,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,126064,487227,"J"
24587,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,126121,500582,"J"
24588,5,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126074,501343,"J"
24589,30,24,6,0,0,6,0,61,0,6,0,0,6,0,2,0,0,2,0,8,0,0,8,0,0,126125,501726,"J"
24590,8,4,4,0,2,2,2,14,1,3,0,1,2,1,1,0,1,0,1,4,0,2,2,2,0,126310,501590,"J"
24591,1,0,1,0,1,0,1,2,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,126253,501891,"J"
24592,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"126295,338","502491,645","J"
24593,3,2,1,0,1,0,1,6,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,126353,502046,"J"
24594,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126474,502441,"J"
24595,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"126471,805","502216,282","J"
24596,3,2,1,0,0,1,0,5,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,"126482,639","502220,166","J"
24597,2,1,1,0,1,0,1,4,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,126431,502546,"J"
24598,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,"126402,525","502753,514","J"
24599,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"126225,076","503925,544","J"
24600,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126853,547733,"J"
24601,4,3,1,0,1,0,1,8,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,"127166,1","478597,79","J"
24602,1,0,1,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,127159,478971,"J"
24603,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127042,480239,"J"
24604,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127320,480398,"J"
24605,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"127041,158","481816,142","J"
24606,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127250,482884,"J"
24607,4,2,2,0,0,2,0,8,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,127049,484385,"J"
24608,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,127003,484700,"J"
24609,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127212,501270,"J"
24610,1,0,1,0,1,0,1,2,0,1,0,1,0,1,1,0,1,0,1,2,0,2,0,2,0,"127248,587","501331,706","J"
24611,6,3,3,0,1,2,1,10,4,3,0,1,2,1,2,0,1,1,1,5,0,2,3,2,0,127281,501094,"J"
24612,1,0,1,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,127062,501743,"J"
24613,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"127228,941","501958,906","J"
